date,open,high,low,close,volume,dayOfweek,open_24,close_24
03/06/2015 02:00,123.892,123.987,123.86,123.976,4216,Wednesday,124.547,124.501
03/06/2015 03:00,123.973,124.085,123.955,124.022,2509,Wednesday,124.5,124.436
03/06/2015 04:00,124.022,124.027,123.86,123.936,3216,Wednesday,124.437,124.495
03/06/2015 05:00,123.936,123.945,123.791,123.856,5224,Wednesday,124.495,124.312
03/06/2015 06:00,123.856,123.989,123.826,123.956,7084,Wednesday,124.311,124.251
03/06/2015 07:00,123.958,124.201,123.958,124.158,9139,Wednesday,124.251,124.284
03/06/2015 08:00,124.157,124.344,124.097,124.33,8155,Wednesday,124.285,124.047
03/06/2015 09:00,124.33,124.402,124.301,124.384,6081,Wednesday,124.049,124.025
03/06/2015 10:00,124.385,124.497,124.377,124.454,5872,Wednesday,124.029,124.066
03/06/2015 11:00,124.455,124.468,124.349,124.43,6031,Wednesday,124.066,124.04
03/06/2015 12:00,124.431,124.682,124.352,124.613,10642,Wednesday,124.041,124.329
03/06/2015 13:00,124.613,124.627,124.245,124.301,13052,Wednesday,124.33,124.379
03/06/2015 14:00,124.282,124.282,123.999,124.126,11264,Wednesday,124.381,124.493
03/06/2015 15:00,124.125,124.257,124.062,124.063,7211,Wednesday,124.493,124.575
03/06/2015 16:00,124.064,124.377,124.059,124.377,4761,Wednesday,124.576,124.522
03/06/2015 17:00,124.375,124.425,124.318,124.401,3394,Wednesday,124.523,124.356
03/06/2015 18:00,124.401,124.422,124.336,124.339,2237,Wednesday,124.355,124.369
03/06/2015 19:00,124.34,124.365,124.227,124.23,2557,Wednesday,124.367,124.348
03/06/2015 20:00,124.231,124.269,124.176,124.245,2015,Wednesday,124.35,124.353
03/06/2015 21:00,124.24,124.298,124.22,124.268,688,Wednesday,124.353,124.45
03/06/2015 22:00,124.272,124.337,124.22,124.296,2375,Wednesday,124.45,124.453
03/06/2015 23:00,124.295,124.372,124.295,124.305,1516,Wednesday,124.454,124.392
04/06/2015 00:00,124.307,124.407,124.292,124.342,3738,Thursday,124.393,124.476
04/06/2015 01:00,124.342,124.57,124.305,124.548,5195,Thursday,124.476,124.487
04/06/2015 02:00,124.547,124.557,124.441,124.501,2993,Thursday,124.486,124.417
04/06/2015 03:00,124.5,124.541,124.427,124.436,2750,Thursday,124.417,124.475
04/06/2015 04:00,124.437,124.514,124.436,124.495,2521,Thursday,124.475,124.435
04/06/2015 05:00,124.495,124.497,124.265,124.312,4894,Thursday,124.434,124.492
04/06/2015 06:00,124.311,124.405,123.975,124.251,7715,Thursday,124.492,124.483
04/06/2015 07:00,124.251,124.387,124.212,124.284,7124,Thursday,124.482,124.709
04/06/2015 08:00,124.285,124.287,123.779,124.047,11906,Thursday,124.709,124.755
04/06/2015 09:00,124.049,124.085,123.953,124.025,7564,Thursday,124.756,124.79
04/06/2015 10:00,124.029,124.149,124.018,124.066,6068,Thursday,124.788,124.811
04/06/2015 11:00,124.066,124.147,123.988,124.04,7478,Thursday,124.811,124.742
04/06/2015 12:00,124.041,124.33,124.039,124.329,9060,Thursday,124.743,125.638
04/06/2015 13:00,124.33,124.51,124.285,124.379,11459,Thursday,125.637,125.679
04/06/2015 14:00,124.381,124.513,124.345,124.493,7682,Thursday,125.683,125.648
04/06/2015 15:00,124.493,124.68,124.464,124.575,7645,Thursday,125.649,125.591
04/06/2015 16:00,124.576,124.597,124.484,124.522,5103,Thursday,125.592,125.518
04/06/2015 17:00,124.523,124.541,124.355,124.356,5240,Thursday,125.519,125.594
04/06/2015 18:00,124.355,124.387,124.226,124.369,3874,Thursday,125.595,125.603
04/06/2015 19:00,124.367,124.396,124.272,124.348,3469,Thursday,125.605,125.64
04/06/2015 20:00,124.35,124.391,124.328,124.353,2321,Thursday,125.639,125.578
05/06/2015 00:00,124.393,124.57,124.358,124.476,4646,Friday,125.623,125.586
05/06/2015 01:00,124.476,124.531,124.448,124.487,4046,Friday,125.585,125.366
05/06/2015 02:00,124.486,124.493,124.407,124.417,2804,Friday,125.366,125.445
05/06/2015 03:00,124.417,124.482,124.407,124.475,2588,Friday,125.446,125.445
05/06/2015 04:00,124.475,124.479,124.415,124.435,2925,Friday,125.444,125.474
05/06/2015 05:00,124.434,124.492,124.406,124.492,2829,Friday,125.473,125.472
05/06/2015 06:00,124.492,124.536,124.453,124.483,5604,Friday,125.472,125.173
05/06/2015 07:00,124.482,124.766,124.481,124.709,8708,Friday,125.171,125.217
05/06/2015 08:00,124.709,124.804,124.671,124.755,6114,Friday,125.218,125.374
05/06/2015 09:00,124.756,124.801,124.723,124.79,4301,Friday,125.372,125.266
05/06/2015 10:00,124.788,124.838,124.743,124.811,5261,Friday,125.266,125.325
05/06/2015 11:00,124.811,124.829,124.646,124.742,5632,Friday,125.326,125.288
05/06/2015 12:00,124.743,125.729,124.663,125.638,12805,Friday,125.288,125.117
05/06/2015 13:00,125.637,125.853,125.562,125.679,12825,Friday,125.117,125.105
05/06/2015 14:00,125.683,125.716,125.369,125.648,9969,Friday,125.105,125.341
05/06/2015 15:00,125.649,125.695,125.503,125.591,7329,Friday,125.338,125.085
05/06/2015 16:00,125.592,125.603,125.496,125.518,5190,Friday,125.086,125.057
05/06/2015 17:00,125.519,125.62,125.462,125.594,4228,Friday,125.057,124.745
05/06/2015 18:00,125.595,125.636,125.537,125.603,2792,Friday,124.745,124.604
05/06/2015 19:00,125.605,125.649,125.58,125.64,1952,Friday,124.611,124.408
05/06/2015 20:00,125.639,125.65,125.536,125.578,1517,Friday,124.41,124.474
08/06/2015 00:00,125.623,125.633,125.462,125.586,5065,Monday,124.577,124.612
08/06/2015 01:00,125.585,125.585,125.323,125.366,5162,Monday,124.612,124.512
08/06/2015 02:00,125.366,125.445,125.29,125.445,3958,Monday,124.513,124.473
08/06/2015 03:00,125.446,125.459,125.392,125.445,2217,Monday,124.476,124.555
08/06/2015 04:00,125.444,125.492,125.431,125.474,2170,Monday,124.555,124.566
08/06/2015 05:00,125.473,125.536,125.441,125.472,3539,Monday,124.566,124.283
08/06/2015 06:00,125.472,125.594,124.993,125.173,7854,Monday,124.282,124.425
08/06/2015 07:00,125.171,125.27,124.997,125.217,9592,Monday,124.423,124.54
08/06/2015 08:00,125.218,125.553,125.216,125.374,7568,Monday,124.539,124.278
08/06/2015 09:00,125.372,125.381,125.235,125.266,5976,Monday,124.277,124.123
08/06/2015 10:00,125.266,125.346,125.25,125.325,4898,Monday,124.122,124.062
08/06/2015 11:00,125.326,125.34,125.247,125.288,5131,Monday,124.064,124.122
08/06/2015 12:00,125.288,125.304,125.108,125.117,7091,Monday,124.122,124.297
08/06/2015 13:00,125.117,125.18,125,125.105,7944,Monday,124.296,124.317
08/06/2015 14:00,125.105,125.351,125.083,125.341,8154,Monday,124.308,124.369
08/06/2015 15:00,125.338,125.374,124.953,125.085,7602,Monday,124.369,124.172
08/06/2015 16:00,125.086,125.142,125.035,125.057,3273,Monday,124.173,124.291
08/06/2015 17:00,125.057,125.078,124.69,124.745,6619,Monday,124.29,124.406
08/06/2015 18:00,124.745,124.776,124.462,124.604,6550,Monday,124.409,124.357
08/06/2015 19:00,124.611,124.621,124.294,124.408,4878,Monday,124.357,124.352
08/06/2015 20:00,124.41,124.514,124.349,124.474,2686,Monday,124.354,124.331
08/06/2015 21:00,124.471,124.618,124.465,124.59,2440,Monday,124.329,124.334
08/06/2015 22:00,124.59,124.615,124.543,124.615,2683,Monday,124.335,124.421
08/06/2015 23:00,124.617,124.65,124.567,124.58,2192,Monday,124.42,124.353
09/06/2015 00:00,124.577,124.738,124.57,124.612,5401,Tuesday,124.353,124.405
09/06/2015 01:00,124.612,124.622,124.394,124.512,5902,Tuesday,124.404,124.393
09/06/2015 02:00,124.513,124.546,124.414,124.473,4135,Tuesday,124.392,124.492
09/06/2015 03:00,124.476,124.556,124.404,124.555,2456,Tuesday,124.493,124.543
09/06/2015 04:00,124.555,124.577,124.525,124.566,2560,Tuesday,124.544,122.996
09/06/2015 05:00,124.566,124.566,124.249,124.283,4772,Tuesday,122.996,122.753
09/06/2015 06:00,124.282,124.434,124.158,124.425,8412,Tuesday,122.76,123.01
09/06/2015 07:00,124.423,124.623,124.4,124.54,9483,Tuesday,123.01,122.706
09/06/2015 08:00,124.539,124.605,124.27,124.278,9182,Tuesday,122.706,122.656
09/06/2015 09:00,124.277,124.277,124.066,124.123,8729,Tuesday,122.653,122.78
09/06/2015 10:00,124.122,124.13,123.9,124.062,8867,Tuesday,122.782,123.176
09/06/2015 11:00,124.064,124.143,123.86,124.122,8125,Tuesday,123.179,122.95
09/06/2015 12:00,124.122,124.342,124.015,124.297,8803,Tuesday,122.951,122.709
09/06/2015 13:00,124.296,124.341,124.069,124.317,9356,Tuesday,122.708,122.664
09/06/2015 14:00,124.308,124.418,124.166,124.369,9438,Tuesday,122.663,122.631
09/06/2015 15:00,124.369,124.436,124.152,124.172,6166,Tuesday,122.637,122.718
09/06/2015 16:00,124.173,124.313,124.128,124.291,3975,Tuesday,122.718,122.769
09/06/2015 17:00,124.29,124.43,124.256,124.406,4215,Tuesday,122.768,122.666
09/06/2015 18:00,124.409,124.429,124.339,124.357,2527,Tuesday,122.665,122.682
09/06/2015 19:00,124.357,124.376,124.318,124.352,2370,Tuesday,122.684,122.615
09/06/2015 20:00,124.354,124.37,124.299,124.331,2139,Tuesday,122.617,122.664
09/06/2015 21:00,124.329,124.36,124.275,124.334,2014,Tuesday,122.658,122.749
09/06/2015 22:00,124.335,124.421,124.311,124.421,2201,Tuesday,122.749,122.779
09/06/2015 23:00,124.42,124.421,124.334,124.353,2380,Tuesday,122.779,122.882
10/06/2015 00:00,124.353,124.48,124.246,124.405,6218,Wednesday,122.883,123.024
10/06/2015 01:00,124.404,124.433,124.339,124.393,4221,Wednesday,123.025,123.146
10/06/2015 02:00,124.392,124.541,124.355,124.492,4991,Wednesday,123.147,123.055
10/06/2015 03:00,124.493,124.62,124.493,124.543,4104,Wednesday,123.054,123.097
10/06/2015 04:00,124.544,124.583,122.776,122.996,16229,Wednesday,123.095,123.222
10/06/2015 05:00,122.996,123.16,122.5,122.753,11968,Wednesday,123.221,123.187
10/06/2015 06:00,122.76,123.076,122.613,123.01,9995,Wednesday,123.188,123.225
10/06/2015 07:00,123.01,123.12,122.456,122.706,12899,Wednesday,123.226,123.534
